W,Название,Title,Тип изображения,Изображение на сайте,"Ширина, px","Высота, px",Мегапиксели,Источник,Страница источника
510,Деревенская улица. Ветёй зимой,"Village Street, Vetheuil in Winter",цветная фотография,https://monet.1vasiliadi.com/img/1600/w510.webp,3176,2333,7.4,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_Monet_053.jpg
511,Лавакур под снегом,"Lavacourt, Sun and Snow",цветная фотография,https://monet.1vasiliadi.com/img/1600/w511.webp,3840,2772,10.6,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet,_Lavacourt-Sunshine-and-Snow.jpg"
512,Берега в Лавакуре в снегу,Riverbanks at Lavacourt in snow,скан из каталога,https://monet.1vasiliadi.com/img/1600/w512.webp,344,255,0.1,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_512.png"
513,Сена в Лавакуре. Эффект снега,Seine at Lavacourt. Effect of Snow,скан из каталога,https://monet.1vasiliadi.com/img/1600/w513.webp,1024,759,0.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w513.jpg
514,Лавакур зимой,Lavacourt in winter,цветная фотография,https://monet.1vasiliadi.com/img/1600/w514.webp,850,649,0.6,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Lavacourt,_l'hiver_(1879)_Claude_Monet_(W_514).jpg"
515,Лавакур,Lavacourt,скан из каталога,https://monet.1vasiliadi.com/img/1600/w515.webp,444,253,0.1,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_515.png"
516,Излучина Сены в Лавакуре. Зима,"The Bend of the Seine at Lavacourt, Winter",скан из каталога,https://monet.1vasiliadi.com/img/1600/w516.webp,1024,853,0.9,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w516.jpg
517,Зима на Сене. Лавакур,"Winter on the Seine, Lavacourt",цветная фотография,https://monet.1vasiliadi.com/img/1600/w517.webp,771,640,0.5,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Claude_Monet,_River_at_Lavacourt,_1879,_Oil_on_canvas.jpg"
518,Ветёй в тумане,Vetheuil in the Fog,цветная фотография,https://monet.1vasiliadi.com/img/1600/w518.webp,1226,1056,1.3,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_-_Vetheuil_im_Nebel.jpg
519,Цветущие сливы,Plums Blossom,скан из каталога,https://monet.1vasiliadi.com/img/1600/w519.webp,835,1021,0.9,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w519.jpg
520,Ветёй. Цветущие сливы,"Vetheuil, Flowering Plum Trees",цветная фотография,https://monet.1vasiliadi.com/img/1600/w520.webp,3840,3053,11.7,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Flowering_Plum_Trees_-_Google_Art_Project.jpg
521,Ветёй. Цветущие сливы,"Vetheuil, Flowering Plum Trees",скан из каталога,https://monet.1vasiliadi.com/img/1600/w521.webp,500,396,0.2,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w521.jpg
521a,Цветущий сад,Orchard in Flower,цветная фотография,https://monet.1vasiliadi.com/img/1600/w521a.webp,795,654,0.5,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:MonetSad.jpg
522,Цветущие груши,Pear trees in blossom,скан из каталога,https://monet.1vasiliadi.com/img/1600/w522.webp,1000,599,0.6,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w522.jpg
523,Яблоня,The apple tree,цветная фотография,https://monet.1vasiliadi.com/img/1600/w523.webp,3200,2670,8.5,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_monet_le_pommier.jpg
524,Цветущие яблони близ Ветёя,Apple treen in blossom near Vetheuil,скан из каталога,https://monet.1vasiliadi.com/img/1600/w524.webp,1024,723,0.7,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w_524.jpg
524a,Хижина,The Cottage,скан из каталога,https://monet.1vasiliadi.com/img/1600/w524a.webp,380,282,0.1,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_524a.png"
526,Пейзаж. Ветёй,Landscape. Vétheuil,цветная фотография,https://monet.1vasiliadi.com/img/1600/w526.webp,742,600,0.4,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Paysage,_Vetheuil,_1879.jpg"
527,Ветёй,Vetheuil,цветная фотография,https://monet.1vasiliadi.com/img/1600/w527.webp,3200,2241,7.2,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_monet_vetheuil.jpg
528,Сена в Ветёе. Солнце после дождя,"The Seine at Vétheuil, Sun Effect after Rain",цветная фотография,https://monet.1vasiliadi.com/img/1600/w528.webp,758,565,0.4,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Vetheuil,_vu_de_Lavacourt,_1879.jpg"
529,Сена в Ветёе,The Seine at Vétheuil,скан из каталога,https://monet.1vasiliadi.com/img/1600/w529.webp,1024,751,0.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w529.jpg
530,Сена ниже Ветёя,The Seine downstream from Vetheuil,цветная фотография,https://monet.1vasiliadi.com/img/1600/w530.webp,500,372,0.2,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_La_Seine_en_aval_de_V%C3%A9theuil_(anc._Giverny),_1879.png"
531,Ветёй. Церковь,"Vetheuil, The Church",цветная фотография,https://monet.1vasiliadi.com/img/1600/w531.webp,1200,990,1.2,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_-_The_Church_V%C3%A9theuil.jpg
532,Сена в Ветёе,The Seine at Vétheuil,цветная фотография,https://monet.1vasiliadi.com/img/1600/w532.webp,800,493,0.4,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_LA_SEINE_A_VETHEUIL,_1879_entre_%3B_1882_et.jpg"
533,Ветёй,Vétheuil,цветная фотография,https://monet.1vasiliadi.com/img/1600/w533.webp,3840,2800,10.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_V%C3%A9theuil_-_Google_Art_Project_(427751).jpg
534,Ветёй летом,Vetheuil in Summer,цветная фотография,https://monet.1vasiliadi.com/img/1600/w534.webp,680,505,0.3,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:V%C3%A9theuil_en_%C3%A9t%C3%A9).jpg
535,Луг,A Meadow,цветная фотография,https://monet.1vasiliadi.com/img/1600/w535.webp,1221,990,1.2,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_-_Wiese_au%C3%9Ferhalb_von_Vetheuil.jpg
536,Маки в окрестностях Ветёя,Poppy Field near Vetheuil,цветная фотография,https://monet.1vasiliadi.com/img/1600/w536.webp,2265,1800,4.1,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Champ_de_coquelicots_pr%C3%A8s_de_V%C3%A9theuil.jpg
537,Сена в Ветёе,The Seine at Vetheuil,цветная фотография,https://monet.1vasiliadi.com/img/1600/w537.webp,3270,4314,14.1,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_La_Seine_%C3%A0_V%C3%A9theuil,_1879.jpg"
538,Сена в Лавакуре,La Seine à Lavacourt,цветная фотография,https://monet.1vasiliadi.com/img/1600/w538.webp,1200,886,1.1,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Banks_of_the_Seine_at_Lavacourt_(Bords_de_la_Seine_%C3%A0_Lavacourt)_1879_-_Claude_Monet_-_The_Frick_Pittsburgh_(W_538).jpg
538a,Сена в Лавакуре,The Seine at Lavacourt,цветная фотография,https://monet.1vasiliadi.com/img/1600/w538a.webp,971,713,0.7,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:La_Seine_%C3%A0_Lavacourt_(1879)_Claude_Monet_(W538a).jpg
539,Сена в Лавакуре,The Seine at Lavacourt,скан из каталога,https://monet.1vasiliadi.com/img/1600/w539.webp,1024,759,0.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w539_the_seine_at_lavacourt.jpg
540,Сена в Лавакуре,The Seine at Lavacourt,цветная фотография,https://monet.1vasiliadi.com/img/1600/w540.webp,1024,772,0.8,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_View_of_the_Seine,_Lavacourt,_1880.jpg"
541,Сена в Лавакуре,Seine at Lavacourt,цветная фотография,https://monet.1vasiliadi.com/img/1600/w541.webp,3200,2342,7.5,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:La_Seine_%C3%A0_Lavacourt.JPG
542,Леон Пельтье,Leon Peltier,скан из каталога,https://monet.1vasiliadi.com/img/1600/w542.webp,686,1024,0.7,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w542.jpg
543,Камилла на смертном одре,Camille Monet on her Deathbed,цветная фотография,https://monet.1vasiliadi.com/img/1600/w543.webp,3714,5087,18.9,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Camille_Monet_sur_son_lit_de_mort.JPG
544,Натюрморт с испанской дыней,Still Life with Spanish Melon,цветная фотография,https://monet.1vasiliadi.com/img/1600/w544.webp,1920,2552,4.9,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Nature_morte_au_melon_d%E2%80%99Espagne.jpg
545,Корзина с яблоками и виноградом,Fruit Basket with Apples and Grapes,цветная фотография,https://monet.1vasiliadi.com/img/1600/w545.webp,3840,2919,11.2,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Apples_and_Grapes,_by_Claude_Monet.jpg"
546,Натюрморт. Яблоки и виноград,Still Life – Apples and Grapes,цветная фотография,https://monet.1vasiliadi.com/img/1600/w546.webp,3000,2424,7.3,Art Institute of Chicago,https://www.artic.edu/artworks/16549
547,Настурции в голубой вазе,Nasturtiums in a Blue Vase,скан из каталога,https://monet.1vasiliadi.com/img/1600/w547.webp,827,1024,0.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w547.jpg
548,Ваза с настурциями,Vase of Nasturtiums,скан из каталога,https://monet.1vasiliadi.com/img/1600/w548.webp,496,640,0.3,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w_548_vase_of_nasturtiums.jpg
549,Фазаны,The Pheasants,скан из каталога,https://monet.1vasiliadi.com/img/1600/w549.webp,360,265,0.1,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_549.png"
550,Фазаны и ржанки,Pheasants and Plovers,цветная фотография,https://monet.1vasiliadi.com/img/1600/w550.webp,3840,2904,11.2,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Still_Life_with_Pheasants_and_Plovers_-_Google_Art_Project.jpg
551,"Фазаны, вальдшнепы и куропатки","Pheasants, Woodcocks and Partridges",цветная фотография,https://monet.1vasiliadi.com/img/1600/w551.webp,2880,3800,10.9,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Faisans,_b%C3%A9casses_et_perdrix_(1879)_Claude_Monet_(W_551).jpg"
552,Вид Ветёя зимой,View of Vetheuil in Winter,скан из каталога,https://monet.1vasiliadi.com/img/1600/w552.webp,500,396,0.2,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w552.jpg
553,"Иней, пасмурная погода","Frost, Grey Weather",скан из каталога,https://monet.1vasiliadi.com/img/1600/w553.webp,1024,770,0.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w553.jpg
554,Иней в Ветёе,Hoarfrost at Vétheuil,скан из каталога,https://monet.1vasiliadi.com/img/1600/w554.webp,323,251,0.1,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_554.png"
555,Иней,Frost,цветная фотография,https://monet.1vasiliadi.com/img/1600/w555.webp,3840,2331,9.0,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Claude_Monet,_Le_Givre_(1880,_from_C2RMF).jpg"
556,"Льдины, Лавакур","Les Glacons, Lavacourt",скан из каталога,https://monet.1vasiliadi.com/img/1600/w556.webp,1000,619,0.6,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w_556_les_glacons_lavacourt.jpg
557,Зимнее солнце. Лавакур,"Winter Sun, Lavacourt",цветная фотография,https://monet.1vasiliadi.com/img/1600/w557.webp,3840,2827,10.9,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Le_Havre_-_MAM_-_Claude_Monet_-_Soleil_couchant,_Lavacourt.jpg"
558,Зима на Сене в Лавакуре,Winter on the Seine at Lavacourt,цветная фотография,https://monet.1vasiliadi.com/img/1600/w558.webp,1280,761,1.0,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_-_winter-on-the-seine-lavacourt-1880.jpg
559,Ветёй. Ледоход,"Vetheuil, Ice Floes",скан из каталога,https://monet.1vasiliadi.com/img/1600/w559.webp,1024,729,0.7,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w559.jpg
560,"Ледоход, пасмурная погода","Breakup of Ice, Grey Weather",цветная фотография,https://monet.1vasiliadi.com/img/1600/w560.webp,1024,764,0.8,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_The_Break-Up_of_the_Ice,_1880.jpg"
561,Ледоход. Лавакур,"Breakup of the Ice, Lavacourt",цветная фотография,https://monet.1vasiliadi.com/img/1600/w561.webp,2337,1702,4.0,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Lille_PdBA_monet_la_debacle.JPG
562,Ледоход,Breakup of Ice,цветная фотография,https://monet.1vasiliadi.com/img/1600/w562.webp,3840,3270,12.6,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:La_D%C3%A9b%C3%A2cle,_by_Claude_Monet,_1880,_oil_on_canvas_-_Dunedin_Public_Art_Gallery_-_Dunedin,_NZ_-_DSC04656.jpg"
563,Ледоход в Лавакуре,Breakup of Ice at Lavacourt,скан из каталога,https://monet.1vasiliadi.com/img/1600/w563.webp,1024,563,0.6,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w563.jpg
564,Льдины на Сене в Лавакуре,The Floes on the Seine at Lavacourt,скан из каталога,https://monet.1vasiliadi.com/img/1600/w564.webp,437,255,0.1,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_564.png"
565,"Ледоход, пасмурная погода","Breakup of Ice, Grey Weather",цветная фотография,https://monet.1vasiliadi.com/img/1600/w565.webp,2993,1869,5.6,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_The_Break-up_of_the_Ice_(La_D%C3%A9b%C3%A2cle_or_Les_Gla%C3%A7ons)_-_Google_Art_Project.jpg
566,Оттепель в Ветёе,The Thaw at Vétheuil,цветная фотография,https://monet.1vasiliadi.com/img/1600/w566.webp,2000,1205,2.4,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_The_thaw_at_Vetheuil.jpg
567,Плывущие льдины,Floating Ice,цветная фотография,https://monet.1vasiliadi.com/img/1600/w567.webp,3416,2244,7.7,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Claude_monet,_les_gla%C3%A7ons_(debacle_sulla_senna),_1880,_02.JPG"
568,Льдины,The Ice Floes,скан из каталога,https://monet.1vasiliadi.com/img/1600/w568.webp,640,416,0.3,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w568.jpg
569,Ледоход,Breakup of Ice,цветная фотография,https://monet.1vasiliadi.com/img/1600/w569.webp,564,345,0.2,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_The_Break-up_of_Ice_on_the_Seine,_1880%E2%80%9381.png"
570,Ледоход,Breakup of Ice,скан из каталога,https://monet.1vasiliadi.com/img/1600/w570.webp,1024,633,0.6,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w570.jpg
571,Ледоход,Breakup of Ice,скан из каталога,https://monet.1vasiliadi.com/img/1600/w571.webp,1024,658,0.7,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w571.jpg
572,Ледоход близ Ветёя,The Breaking up near Vétheuil,скан из каталога,https://monet.1vasiliadi.com/img/1600/w572.webp,273,185,0.1,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w572_ice_melting_near_vetheuil.jpg
573,Зима в Лавакуре,Winter at Lavacourt,цветная фотография,https://monet.1vasiliadi.com/img/1600/w573.webp,2880,2114,6.1,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:L'HIVER,_PR%C3%88S_DE_LAVACOURT_(1880)_Claude_Monet_(W_573).jpg"
574,Закат на Сене зимой,Sunset on the Seine in Winter,скан из каталога,https://monet.1vasiliadi.com/img/1600/w574.webp,750,558,0.4,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w574.jpg
575,Закат на Сене в Лавакуре. Зима,Sun Setting over the Seine at Lavacourt. Winter Effect,скан из каталога,https://monet.1vasiliadi.com/img/1600/w575.webp,1017,670,0.7,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w575_sunset_at_lavacourt.jpg
576,Закат на Сене в Лавакуре. Зима,"Sunset on the Seine at Lavacourt, Winter Effect",цветная фотография,https://monet.1vasiliadi.com/img/1600/w576.webp,3840,2568,9.9,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Soleil_couchant_sur_la_Seine_%C3%A0_Lavacourt,_effet_d'hiver_-_PPP439_-_Mus%C3%A9e_des_Beaux-Arts_de_la_ville_de_Paris.jpg"
577,Закат,Sunset,скан из каталога,https://monet.1vasiliadi.com/img/1600/w577.webp,1024,846,0.9,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w577.jpg
578,Сена в Лавакуре,The Seine at Lavacourt,цветная фотография,https://monet.1vasiliadi.com/img/1600/w578.webp,3840,2574,9.9,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_Lavacourt.jpg
579,Весна в Ветёе,Spring in Vétheuil,цветная фотография,https://monet.1vasiliadi.com/img/1600/w579.webp,3702,3018,11.2,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Claude_monet,_primavera_a_v%C3%A9theuil,_1880.jpg"
580,Ветёй на солнце,Vétheuil in the Sun,скан из каталога,https://monet.1vasiliadi.com/img/1600/w580.webp,481,287,0.1,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_580.png"
581,Дорога из Ветёя,The Road from Vétheuil,цветная фотография,https://monet.1vasiliadi.com/img/1600/w581.webp,3840,3134,12.0,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_The_Road_to_V%C3%A9theuil_-_Google_Art_Project.jpg
582,Дорога в Ла-Рош-Гийон,Road of La Roche-Guyon,цветная фотография,https://monet.1vasiliadi.com/img/1600/w582.webp,3840,3230,12.4,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Road_of_La_Roche-Guyon_-_Google_Art_Project.jpg
583,Дорога в Ла-Рош-Гийон,The Road to La Roche-Guyon,скан из каталога,https://monet.1vasiliadi.com/img/1600/w583.webp,1024,790,0.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w583.jpg
585,Цветущие яблони у воды,Apple Trees in Blossom by the Water,цветная фотография,https://monet.1vasiliadi.com/img/1600/w585.webp,1951,2314,4.5,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Pommier_en_fleurs_au_bord_de_l'eau_-_Claude_Monet.jpg
586,Весна,Springtime,цветная фотография,https://monet.1vasiliadi.com/img/1600/w586.webp,1677,1239,2.1,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Le_Printemps_(1882)_Claude_Monet.JPG
587,"Над Ветёем, весна","Above Vetheuil, Spring Effect",цветная фотография,https://monet.1vasiliadi.com/img/1600/w587.webp,3643,2154,7.8,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Au_dessus_de_V%C3%A9theuil,_effet_de_printemps,_Claude_Monet%3B_-_3155_(cropped).jpg"
588,Деревушка Шантмель у подножия скалы,The Hamlet of Chantemesle at the Foot of the Rock,скан из каталога,https://monet.1vasiliadi.com/img/1600/w588.webp,1024,758,0.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w588.jpg
589,От-Иль,Haute-Isle,скан из каталога,https://monet.1vasiliadi.com/img/1600/w589.webp,593,490,0.3,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w589.jpg
590,Предвечерний час в Ветёе,Late Afternoon in Vetheuil,скан из каталога,https://monet.1vasiliadi.com/img/1600/w590.webp,736,534,0.4,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w590.jpg
591,Холмы в Ветёе,The Hills at Vetheuil,скан из каталога,https://monet.1vasiliadi.com/img/1600/w591.webp,750,445,0.3,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_591.png"
592,Вид Ветёя,View of Vétheuil,цветная фотография,https://monet.1vasiliadi.com/img/1600/w592.webp,3840,5128,19.7,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_View_of_V%C3%A9theuil.jpg
593,Маковое поле,A Poppy Field,скан из каталога,https://monet.1vasiliadi.com/img/1600/w593.webp,826,1000,0.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w593(1).jpg
594,Ветёй,Vétheuil,цветная фотография,https://monet.1vasiliadi.com/img/1600/w594.webp,3840,2866,11.0,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_Monet_Vetheuil_01.jpg
595,"Ветёй, вид с острова Сен-Мартен",Vetheuil seen from the Ile Saint Martin,скан из каталога,https://monet.1vasiliadi.com/img/1600/w595.webp,673,458,0.3,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w595.jpg
596,"Ветёй, вид с острова Сен-Мартен",Vetheuil seen from Ile Saint Martin,скан из каталога,https://monet.1vasiliadi.com/img/1600/w596.webp,1024,763,0.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w596.jpg
597,Берега Сены близ Ветёя,Banks of the Seine near Vetheuil,цветная фотография,https://monet.1vasiliadi.com/img/1600/w597.webp,3840,2798,10.7,National Gallery of Art,https://www.nga.gov/collection/art-object-page.46652.html
598,Остров Цветов близ Ветёя,Île aux Fleurs near Vétheuil,цветная фотография,https://monet.1vasiliadi.com/img/1600/w598.webp,3840,3112,12.0,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_%C3%8Ele_aux_Fleurs_near_V%C3%A9theuil.jpg
599,Сена в Ветёе,The Seine at Vétheuil,цветная фотография,https://monet.1vasiliadi.com/img/1600/w599.webp,3811,2310,8.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:The_Seine_at_V%C3%A9theuil_MET_DT1886.jpg
600,Сена и холмы Шантемеля,The Seine and the Chantemesle Hills,цветная фотография,https://monet.1vasiliadi.com/img/1600/w600.webp,512,339,0.2,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:La_Seine_et_les_c%C3%B4teaux_de_Chantemesle_.jpg
601,Малый рукав Сены в Ветёе,The Small Arm of the Seine at Vetheuil,скан из каталога,https://monet.1vasiliadi.com/img/1600/w601.webp,736,587,0.4,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w601.jpg
602,Ветёй,Vetheuil,цветная фотография,https://monet.1vasiliadi.com/img/1600/w602.webp,908,599,0.5,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Vue_de_V%C3%A9theuil_(1880)_Claude_Monet_(W_602).jpg
603,Вид на Ветёй,View of Vetheuil,цветная фотография,https://monet.1vasiliadi.com/img/1600/w603.webp,2612,3272,8.5,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_View_of_V%C3%A9theuil_-_Google_Art_Project.jpg
604,Вид на Ветёй,View of Vetheuil,скан из каталога,https://monet.1vasiliadi.com/img/1600/w604.webp,327,283,0.1,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_604.png"
605,Ветёй летом,Vetheuil in Summer,цветная фотография,https://monet.1vasiliadi.com/img/1600/w605.webp,3811,2292,8.7,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:V%C3%A9theuil_in_Summer_MET_DT1898.jpg
606,Сена в Ветёе,The Seine at Vetheuil,скан из каталога,https://monet.1vasiliadi.com/img/1600/w606.webp,1000,729,0.7,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w606.jpg
607,Ветёй,Vetheuil,цветная фотография,https://monet.1vasiliadi.com/img/1600/w607.webp,2000,1494,3.0,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_V%C3%A9theuil_(W_607).jpg
608,Ветёй,Vetheuil,скан из каталога,https://monet.1vasiliadi.com/img/1600/w608.webp,1024,610,0.6,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w608.jpg
609,Вид на Ветёй,View of Vetheuil,цветная фотография,https://monet.1vasiliadi.com/img/1600/w609.webp,3840,2265,8.7,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:1880_Monet_Vetheuil-sur-Seine_anagoria.JPG
610,Сена в Ветёе,The Seine at Vetheuil,цветная фотография,https://monet.1vasiliadi.com/img/1600/w610.webp,3713,3075,11.4,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:The_Seine_at_Vetheuil,_by_Claude_Monet,_c._1880,_oil_on_canvas_-_Portland_Museum_of_Art_-_Portland,_Maine_-_DSC03977.jpg"
611,Ивы,The Willows,цветная фотография,https://monet.1vasiliadi.com/img/1600/w611.webp,3840,3078,11.8,National Gallery of Art,https://www.nga.gov/collection/art-object-page.178254.html
612,Ивы в Ветёе,The Willows at Vetheuil,скан из каталога,https://monet.1vasiliadi.com/img/1600/w612.webp,372,286,0.1,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_612.png"
613,"Женщина, сидящая под ивами",Woman Sitting under the Willows,цветная фотография,https://monet.1vasiliadi.com/img/1600/w613.webp,2841,3840,10.9,National Gallery of Art,https://www.nga.gov/collection/art-object-page.46653.html
614,Дома в Ветёе,Houses at Vetheuil,скан из каталога,https://monet.1vasiliadi.com/img/1600/w614.webp,379,286,0.1,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_614.png"
615,Берег Сены,The Bank of the Seine,цветная фотография,https://monet.1vasiliadi.com/img/1600/w615.webp,2748,2236,6.1,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_Seine.jpg
616,Ручей близ Ветёя,The Brook near Vetheuil,скан из каталога,https://monet.1vasiliadi.com/img/1600/w616.webp,357,484,0.2,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_616.png"
617,Портрет Жанны Серво,Portrait of Jeanne Serveau,скан из каталога,https://monet.1vasiliadi.com/img/1600/w617.webp,847,1024,0.9,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w617.jpg
618,Месье Кокре (отец),Monsieur Coqueret (Father),цветная фотография,https://monet.1vasiliadi.com/img/1600/w618.webp,788,1024,0.8,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Monsieur_Coqueret_(Father),_1880.jpg"
619,Бланш Ошеде в детстве,Blanche Hoschede as a child,цветная фотография,https://monet.1vasiliadi.com/img/1600/w619.webp,822,1024,0.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Portrait_of_Blanche_Hoschede_(1864-1947)_as_a_Young_Girl_c1880_-_(MeisterDrucke-115698)_W619.jpg
